academic_year,Age,Level,Starts
201213,19-24,Advanced Apprenticeship,63947
201213,19-24,Higher Apprenticeship,2432
201213,19-24,Intermediate Apprenticeship,99008
201213,19-24,NA,2
201213,25+,Advanced Apprenticeship,110614
201213,25+,Higher Apprenticeship,6796
201213,25+,Intermediate Apprenticeship,112874
201213,Under 19,Advanced Apprenticeship,33083
201213,Under 19,Higher Apprenticeship,563
201213,Under 19,Intermediate Apprenticeship,80868
201213,Under 19,NA,25
201314,19-24,Advanced Apprenticeship,59285
201314,19-24,Higher Apprenticeship,2859
201314,19-24,Intermediate Apprenticeship,96971
201314,25+,Advanced Apprenticeship,49822
201314,25+,Higher Apprenticeship,5618
201314,25+,Intermediate Apprenticeship,106121
201314,Under 19,Advanced Apprenticeship,35625
201314,Under 19,Higher Apprenticeship,740
201314,Under 19,Intermediate Apprenticeship,83393
201415,19-24,Advanced Apprenticeship,62434
201415,19-24,Higher Apprenticeship,4209
201415,19-24,Intermediate Apprenticeship,93578
201415,19-24,NA,19
201415,25+,Advanced Apprenticeship,80232
201415,25+,Higher Apprenticeship,14458
201415,25+,Intermediate Apprenticeship,119105
201415,25+,NA,84
201415,Under 19,Advanced Apprenticeship,39176
201415,Under 19,Higher Apprenticeship,1119
201415,Under 19,Intermediate Apprenticeship,85595
201415,Under 19,NA,1
201516,19-24,Advanced Apprenticeship,63140
201516,19-24,Higher Apprenticeship,5825
201516,19-24,Intermediate Apprenticeship,84889
201516,19-24,NA,1
201516,25+,Advanced Apprenticeship,85003
201516,25+,Higher Apprenticeship,19580
201516,25+,Intermediate Apprenticeship,119508
201516,Under 19,Advanced Apprenticeship,42729
201516,Under 19,Higher Apprenticeship,1755
201516,Under 19,Intermediate Apprenticeship,86931
201617,19-24,Advanced Apprenticeship,63194
201617,19-24,Higher Apprenticeship,7585
201617,19-24,Intermediate Apprenticeship,71408
201617,19-24,NA,0
201617,25+,Advanced Apprenticeship,92309
201617,25+,Higher Apprenticeship,26891
201617,25+,Intermediate Apprenticeship,110742
201617,Under 19,Advanced Apprenticeship,42155
201617,Under 19,Higher Apprenticeship,2096
201617,Under 19,Intermediate Apprenticeship,78502
201617,Under 19,NA,0
201718,19-24,Advanced Apprenticeship,44783
201718,19-24,Higher Apprenticeship,11604
201718,19-24,Intermediate Apprenticeship,37649
201718,19-24,NA,0
201718,25+,Advanced Apprenticeship,55400
201718,25+,Higher Apprenticeship,23534
201718,25+,Intermediate Apprenticeship,42188
201718,Under 19,Advanced Apprenticeship,35436
201718,Under 19,Higher Apprenticeship,2851
201718,Under 19,Intermediate Apprenticeship,54547
201718,Under 19,NA,0
