Date,Under19_F,19-24_F,25+_F,AllAges_F,Under19_P,19-24_P,25+_P,AllAges_P,Under19_T,19-24_T,25+_T,AgeNotRecorded_T,AllAges_T
May-17, 850 ," 2,190 "," 3,190 "," 6,220 ", 30 , 60 , 50 , 140 , 880 ," 2,240 "," 3,240 ", -   ," 6,400 "
Jun-17, 910 ," 2,260 "," 3,660 "," 6,820 ", 30 , 40 , 60 , 150 , 940 ," 2,300 "," 3,720 ", 10 ," 7,000 "
Jul-17," 1,940 "," 2,540 "," 3,980 "," 8,450 ", 70 , 70 , 80 , 230 ," 2,020 "," 2,610 "," 4,050 ", -   ," 8,700 "
Aug-17," 2,250 "," 2,620 "," 3,880 "," 8,740 ", 170 , 120 , 140 , 430 ," 2,420 "," 2,740 "," 4,010 ", 10 ," 9,200 "
Sep-17," 9,670 "," 8,640 "," 8,540 "," 26,840 "," 1,110 ", 890 , 740 ," 2,790 "," 10,770 "," 9,540 "," 9,270 ", 50 ," 29,600 "
Oct-17," 3,780 "," 5,100 "," 7,040 "," 15,930 ", 530 , 770 ," 1,020 "," 2,340 "," 4,310 "," 5,870 "," 8,060 ", 20 ," 18,300 "
Nov-17," 2,150 "," 2,650 "," 4,420 "," 9,210 ", 450 , 770 ," 1,350 "," 2,620 "," 2,590 "," 3,420 "," 5,770 ", 60 ," 11,800 "
Dec-17, 100 , 120 , 160 , 380 , 120 , 200 , 400 , 740 , 220 , 330 , 560 , 20 ," 1,100 "
Jan-18, 30 , 30 , 70 , 130 , 30 , 80 , 180 , 310 , 60 , 110 , 250 , 20 , 400 
Feb-18, -   , 10 , 10 , 10 , -   , 10 , 20 , 30 , 10 , 10 , 30 , -   , -   
Mar-18, -   , -   , -   , -   , -   , -   , 10 , 10 , -   , -   , 10 , -   , -   
Apr-18, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
May-18, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
