Academic_Year,SSA_T1,Age,Level,Gender,Framework, Starts , Achievements 
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Agriculture,10,10
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Animal Care,50,30
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Equine Industry,200,120
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Floristry,10,10
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Horticulture,10, -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Female,Veterinary Nursing,340,210
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Agriculture,60,50
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Animal Care,20,10
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Environmental Conservation,10, -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Equine Industry,40,20
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Farriery,50,70
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Horticulture,130,90
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Land-based Service Engineering,60,50
